invoice_id,entity,date,amount
SM-2025019,Starlight Media,2025-01-23,17480.74
AD-2025005,Apex Dynamics,2025-01-13,12670.63
BT110,BlueShift Tech,2025-01-14,16873.02
AD-2025007,Apex Dynamics,2025-01-08,9408.18
VL159,Veritas Legal,2025-01-07,8237.66
MF147,Meridian Financial,2025-01-06,6626.67
NC-2025045,Nexus Cloud,2025-01-09,13343.78
INV-AD-49,Apex Dynamics,2025-01-28,20067.59
INV-VL-0,Veritas Legal,2025-01-14,32478.559999999998
INV-SM-11,Starlight Media,2025-01-10,22473.93
QR-2025015,Quantum Retail,2025-01-23,22553.26
ZL-2025038,Zenith Logistics,2025-01-25,3137.36
NH128,Novus Health,2025-01-24,19551.67
ZL108,Zenith Logistics,2025-01-29,30603.79
INV-NC-36,Nexus Cloud,2025-01-22,18440.54
IS113,IronClad Security,2025-01-17,17315.21
ZL-2025041,Zenith Logistics,2025-01-02,8851.32
INV-BT-25,BlueShift Tech,2025-01-18,31446.27
AD148,Apex Dynamics,2025-01-20,9905.42
VL142,Veritas Legal,2025-01-15,33028.9
INV-NH-54,Novus Health,2025-01-10,25938.25
INV-SM-35,Starlight Media,2025-01-24,11748.95
INV-IS-24,IronClad Security,2025-01-16,11873.45
VL140,Veritas Legal,2025-01-25,12195.88
INV-BT-39,BlueShift Tech,2025-01-07,21280.19
IS-2025050,IronClad Security,2025-01-15,4956.47
INV-BT-58,BlueShift Tech,2025-01-15,25588.14
INV-VL-53,Veritas Legal,2025-01-25,26486.82
SM-2025034,Starlight Media,2025-01-21,8492.35
INV-NC-22,Nexus Cloud,2025-01-25,9342.81
INV-MF-30,Meridian Financial,2025-01-23,10190.87
IS120,IronClad Security,2025-01-24,7427.26
IS-2025043,IronClad Security,2025-01-15,29770.04
SM137,Starlight Media,2025-01-01,23618.44
INV-NH-55,Novus Health,2025-01-29,23892.44
INV-MF-52,Meridian Financial,2025-01-09,12439.38
BT-2025021,BlueShift Tech,2025-01-14,28980.03
AD-2025031,Apex Dynamics,2025-01-03,2187.13
ZL-2025033,Zenith Logistics,2025-01-29,9324.54
AD118,Apex Dynamics,2025-01-12,13905.35
NC101,Nexus Cloud,2025-01-08,17270.36
NH151,Novus Health,2025-01-25,1415.16
INV-AD-14,Apex Dynamics,2025-01-17,10638.13
INV-SM-46,Starlight Media,2025-01-29,32375.59
INV-AD-2,Apex Dynamics,2025-01-08,4732.84
AD-2025032,Apex Dynamics,2025-01-04,1279.96
INV-AD-12,Apex Dynamics,2025-01-21,12929.9
INV-NH-3,Novus Health,2025-01-04,802.86
BT116,BlueShift Tech,2025-01-07,1839.19
NC129,Nexus Cloud,2025-01-25,17129.88
NH156,Novus Health,2025-01-22,734.69
BT-2025009,BlueShift Tech,2025-01-22,34406.09
INV-NH-26,Novus Health,2025-01-06,15652.18
NC127,Nexus Cloud,2025-01-05,33016.48
INV-SM-6,Starlight Media,2025-01-18,23153.85
